title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers
The Legend of Heroes: Trails in the Sky SC,251290,2015-10-29,29.99,80,Overwhelmingly Positive,97,Nihon Falcom,"Marvelous USA, Inc."
The Incredible Adventures of Van Helsing Final Cut,400170,2015-11-06,44.99,79,Mostly Positive,76,NeocoreGames,NeocoreGames
CLANNAD,324160,2015-11-23,44.99,83,Overwhelmingly Positive,98,VisualArts/Key,Sekai Project
DARIUSBURST Chronicle Saviours,377870,2015-12-03,49.99,80,Very Positive,83,Pyramid,TAITO CORP.
Far Cry Primal,371660,2016-02-29,29.99,74,Very Positive,85,Ubisoft,Ubisoft
GUILTY GEAR Xrd -SIGN-,376300,2015-12-09,29.99,84,Very Positive,91,Arc System Works,Arc System Works
Homeworld: Deserts of Kharak,281610,2016-01-20,49.99,79,Very Positive,81,Blackbird Interactive,Gearbox Publishing
Rise of the Tomb Raider,391220,2016-01-28,29.99,86,Very Positive,94,Crystal Dynamics,Feral Interactive (Linux)
The Witness,210970,2016-01-26,39.99,87,Very Positive,85,"Thekla, Inc.","Thekla, Inc."
Torment: Tides of Numenera,272270,2016-01-26,34.99,81,Mostly Positive,71,inXile Entertainment,inXile Entertainment
ARSLAN: THE WARRIORS OF LEGEND,401890,2016-02-09,59.99,57,Mixed,69,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
Dark Souls III,374320,2016-04-11,59.99,89,Very Positive,94,"FromSoftware, Inc.",Bandai Namco Entertainment
Factorio,427520,2020-08-14,35.0,90,Overwhelmingly Positive,97,Wube Software LTD.,Wube Software LTD.
BlazBlue: Chronophantasma Extend,388750,2016-03-02,29.99,85,Very Positive,92,Arc System Works,"H2 Interactive Co., Ltd."
Polaris Sector,418250,2016-03-22,39.99,76,Mixed,69,SoftWarWare,Slitherine Ltd.
Wolcen: Lords of Mayhem,424370,2016-03-24,39.99,60,Mixed,56,WOLCEN Studio,WOLCEN Studio
TransOcean 2: Rivals,350110,2016-05-10,29.99,69,Mixed,49,Deck13 Hamburg,astragon Entertainment 
Stellaris,281990,2016-05-09,39.99,78,Very Positive,88,Paradox Development Studio,Paradox Interactive
Stephen's Sausage Roll,353540,2016-04-18,29.99,90,Overwhelmingly Positive,96,increpare games,increpare games
Root Double -Before Crime * After Days- Xtend Edition,438130,2016-04-27,34.99,75,Very Positive,90,Yeti,Sekai Project
Parkitect,453090,2018-11-29,29.99,83,Very Positive,94,Texel Raptor,Texel Raptor
FINAL FANTASY X/X-2 HD Remaster,359870,2016-05-12,29.99,83,Very Positive,90,Square Enix,Square Enix
Hearts of Iron IV,394360,2016-06-06,39.99,83,Very Positive,92,Paradox Development Studio,Paradox Interactive
Sengoku Jidai: Shadow of the Shogun,397190,2016-05-19,29.99,85,Mostly Positive,73,Byzantine Games,Slitherine Ltd.
I am Setsuna,441830,2016-07-19,39.99,70,Mostly Positive,71,Tokyo RPG Factory,Square Enix
Sherlock Holmes: The Devil's Daughter,350640,2016-05-27,29.99,65,Very Positive,80,Frogwares,Frogwares
Champions of Anteria,374520,2016-08-30,29.99,67,Mixed,49,Blue Byte,Ubisoft
