title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers
Doctor Who: The Edge Of Time,1075400,2019-11-12,24.99,60,Mixed,62,Maze Theory,Playstack
Scanner Sombre,475190,2017-04-26,5.99,67,Very Positive,91,Introversion Software,Introversion Software
SPRAWL,1549690,2023-08-23,14.99,76,Very Positive,85,MAETH,"Rogue Games, Inc."
Morbid: The Seven Acolytes,1140890,2020-12-03,24.99,71,Mostly Positive,76,Still Running,Merge Games
Slime Rancher,433340,2017-08-01,19.99,81,Overwhelmingly Positive,97,Monomi Park,Monomi Park
Airscape: The Fall of Gravity,317250,2015-08-11,15.96,75,Very Positive,81,Cross-Product,Senpai Studios
Sparklite,943140,2019-11-14,24.99,70,Mostly Positive,75,Red Blue Games,Maple Whispering Limited
Grow Home,323320,2015-02-04,7.99,75,Very Positive,93,"Reflections, a Ubisoft Studio",Ubisoft
Silence of the Sleep,321870,2014-10-01,4.99,66,Mostly Positive,77,Jesse Makkonen,Jesse Makkonen
Miasmata,223510,2012-11-28,14.99,76,Mostly Positive,77,IonFx,IonFX Studios
The Tiny Bang Story,96000,2011-04-22,4.99,63,Very Positive,88,Colibri Games,Colibri Games
Children of Morta,330020,2019-09-03,21.99,82,Very Positive,89,Dead Mage,11 bit studios
Enemy Front,256190,2014-06-10,19.99,52,Mixed,64,CI Games,CI Games
Space Hulk: Tactics,492230,2018-10-09,14.99,73,Mixed,63,Cyanide Studio,Focus Entertainment
The American Dream,456180,2018-03-13,14.99,72,Mixed,65,Samurai Punk,Samurai Punk
Chroma Squad,251130,2015-04-30,14.99,75,Overwhelmingly Positive,95,Behold Studios,Behold Studios
L.A. Noire,110800,1970-01-01,19.99,83,Very Positive,85,Team Bondi,Rockstar Games
Mortal Kombat X,307780,2015-04-13,19.99,76,Very Positive,87,NetherRealm Studios,Warner Bros. Interactive Entertainment
Eldest Souls,1108590,2021-07-29,19.99,76,Mostly Positive,78,Fallen Flag Studio,CI Games
Space Colony: Steam Edition,297920,2015-04-30,14.99,74,Mostly Positive,76,FireFly Studios,FireFly Studios
Sniper: Ghost Warrior 3,368070,2017-04-24,19.99,59,Mixed,66,CI Games,CI Games
Starpoint Gemini,108110,2010-12-15,13.99,46,Mostly Negative,29,Little Green Men Games,Little Green Men Games
